,순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,대표국적,국적,배급사,연도,상영횟수,개봉년도
160,172,더 클럽,2008-10-02,490754500,0.001,73126.0,137.0,미국,미국,(주)시너지하우스 (시너지),2008,,2008
161,176,위 오운 더 나잇,2008-05-29,471961500,0.001,71212.0,133.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2008,,2008
162,1,해운대,2009-07-22,81934638201,0.075,11453338.0,753.0,한국,한국,CJ ENM,2009,,2009
163,2,국가대표,2009-07-29,60896633308,0.056,8487894.0,580.0,한국,한국,(주)쇼박스,2009,,2009
164,3,트랜스포머: 패자의 역습,2009-06-24,51478531663,0.047,7505700.0,1129.0,미국,미국,CJ ENM,2009,,2009
165,4,2012,2009-11-12,39367476404,0.036,5456156.0,789.0,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,2009,,2009
166,5,아바타,2009-12-17,43789286106,0.04,5188947.0,912.0,미국,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",2009,,2009
167,6,터미네이터 : 미래전쟁의 시작,2009-05-21,30146162133,0.028,4568891.0,704.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,2009,,2009
168,7,7급 공무원,2009-04-22,26701311856,0.024,4088799.0,475.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2009,,2009
169,8,과속스캔들,2008-12-03,25486062201,0.023,3892350.0,405.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2009,,2008
170,9,쌍화점,2008-12-30,22711932935,0.021,3328944.0,499.0,한국,한국,(주)쇼박스,2009,,2008
171,10,거북이 달린다,2009-06-11,20857347292,0.019,3059812.0,379.0,한국,한국,(주)쇼박스,2009,,2009
172,11,마더,2009-05-28,20195373838,0.018,3013523.0,648.0,한국,한국,CJ ENM,2009,,2009
173,12,해리 포터와 혼혈 왕자,2009-07-15,20580402431,0.019,3002669.0,751.0,미국,미국,워너브러더스 코리아(주),2009,,2009
174,13,워낭소리,2009-01-15,19259975032,0.018,2962897.0,20.0,한국,한국,㈜인디스토리,2009,,2009
175,14,적벽대전 2 : 최후의 결전,2009-01-22,17910684413,0.016,2713031.0,426.0,중국,중국,(주)쇼박스,2009,,2009
176,15,지.아이.조 : 전쟁의 서막,2009-08-06,19889126096,0.018,2706748.0,446.0,미국,미국,CJ ENM,2009,,2009
177,16,굿모닝 프레지던트,2009-10-22,18770889320,0.017,2583294.0,586.0,한국,한국,CJ ENM,2009,,2009
178,17,전우치,2009-12-23,17834719581,0.016,2465572.0,606.0,한국,한국,CJ ENM,2009,,2009
179,18,박쥐,2009-04-30,15051788827,0.014,2237271.0,462.0,한국,"한국,미국,호주",CJ ENM,2009,,2009
180,19,내 사랑 내 곁에,2009-09-24,15764312409,0.014,2160265.0,474.0,한국,한국,CJ ENM,2009,,2009
181,20,박물관이 살아있다 2,2009-06-04,12591000149,0.012,2002526.0,569.0,미국,미국,이십세기폭스코리아(주),2009,,2009
182,21,뉴 문,2009-12-02,13972143428,0.013,1946698.0,532.0,미국,미국,(주)넥스트엔터테인먼트월드(NEW),2009,,2009
183,22,천사와 악마,2009-05-14,12734649711,0.012,1936321.0,558.0,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,2009,,2009
184,23,애자,2009-09-09,13785879439,0.013,1922634.0,262.0,한국,한국,(주)시너지하우스 (시너지),2009,,2009
185,24,그림자 살인,2009-04-02,12805808556,0.012,1914779.0,387.0,한국,한국,CJ ENM,2009,,2009
186,25,차우,2009-07-15,12676951144,0.012,1799356.0,397.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2009,,2009
187,26,작전명 발키리,2009-01-22,11972135869,0.011,1798205.0,372.0,미국,"미국,독일",이십세기폭스코리아(주),2009,,2009
188,27,벤자민 버튼의 시간은 거꾸로 간다,2009-02-12,11603912005,0.011,1767051.0,313.0,미국,미국,"(주)일레븐엔터테인먼트,워너브러더스 코리아(주)",2009,,2009
189,28,불꽃처럼 나비처럼,2009-09-24,12447633504,0.011,1690294.0,437.0,한국,한국,(주)쇼박스,2009,,2009
190,29,유감스러운 도시,2009-01-22,10300187478,0.009,1534911.0,375.0,한국,한국,CJ ENM,2009,,2009
191,30,작전,2009-02-12,10198304795,0.009,1534407.0,393.0,한국,한국,(주)쇼박스,2009,,2009
192,31,닌자 어쌔신,2009-11-26,10213407360,0.009,1341554.0,324.0,미국,미국,워너브러더스 코리아(주),2009,,2009
193,32,청담보살,2009-11-11,9651779665,0.009,1313660.0,404.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2009,,2009
194,33,엑스맨 탄생: 울버린,2009-04-30,8560185022,0.008,1303452.0,403.0,미국,미국,이십세기폭스코리아(주),2009,,2009
