순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도,전국 매출액(만 단위)
4883,"파리, 사랑한 날들",미카엘 코헨,,주식회사 마운틴픽쳐스,퍼즐엔터테인먼트,2011-04-07,개봉영화,장편,프랑스,12,25860000,3369,19006000,2383,멜로/로맨스,19,독립/예술영화,2011,25860
4884,다우더,구혜선,예스 프로덕션,,어뮤즈,2014-11-06,개봉영화,장편,한국,41,23895800,3365,11423900,1480,가족,15,독립/예술영화,2014,23895
4885,라 멜로디,라시드 하미,,위드 라이언 픽쳐스,(주)디스테이션,2018-06-14,개봉영화,장편,프랑스,39,25241500,3365,14145400,1750,코미디,전체,독립/예술영화,2018,25241
4886,투 러버스 앤 베어,킴 누옌,,"(주)팝엔터테인먼트,주식회사 풍경소리",(주)팝엔터테인먼트,2017-03-30,개봉영화,장편,캐나다,73,26655200,3364,17156500,2069,드라마,19,독립/예술영화,2017,26655
4887,세컨 찬스,수잔 비에르,,(주)콘텐츠게이트,"(주)영화사오원,(주)브리즈픽처스",2015-06-11,개봉영화,장편,덴마크,29,26219800,3358,20340300,2466,드라마,19,독립/예술영화,2015,26219
4888,그 남자의 사랑법,아딧탸 초프라,,(주)싸이더스,(주)싸이더스,2013-05-09,개봉영화,장편,인도,28,25414500,3355,16157000,1987,멜로/로맨스,12,독립/예술영화,2013,25414
4889,삼총사 2014,세르게이 지노프,,(주)소나무픽쳐스,(주)소나무픽쳐스,2014-08-07,개봉영화,장편,러시아,21,9719000,3354,4252000,2036,어드벤처,15,독립/예술영화,2014,9719
4890,엑설런트 어드벤쳐 3,딘 패리소트,,(주)누리픽쳐스,(주)누리픽쳐스,2020-11-19,개봉영화,장편,미국,54,17832980,3351,7064940,1275,어드벤처,12,일반영화,2020,17832
4891,미스체인지,정초신,"브런치메이트필름(주),주식회사 루믹스미디어",,브릿지웍스 엔터테인먼트(주),2013-09-05,개봉영화,장편,한국,41,23494500,3344,6600000,888,코미디,19,일반영화,2013,23494
4892,더 펜션,"류장하,양종현,윤창모,정허덕재","(주)조이래빗,(주)제이콘컴퍼니",,(주)영화사오원,2018-06-21,개봉영화,장편,한국,90,30492000,3340,18339500,1879,드라마,15,독립/예술영화,2018,30492
4893,비바,패디 브레스내치,,(주)히스토리필름,(주)팝엔터테인먼트,2016-10-13,개봉영화,장편,아일랜드,71,25521500,3338,15863500,1937,드라마,19,독립/예술영화,2016,25521
4894,해피 댄싱,리차드 론크레인,,주식회사 씨네룩스,주식회사 씨네룩스,2018-11-15,개봉영화,장편,영국,25,23904200,3338,15231200,2073,드라마,12,독립/예술영화,2018,23904
